tipo_registro;chave;nome;cnpj;fechamentos;receita_total;receita_repetida;primeiro_ganho;ultimo_ganho;tipos
organizacao_fechamentos;495;Cond. Solar das Palmeiras;01605246000150;1;13500.00;;2025-05;2025-05;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga"
organizacao_fechamentos;1082;Edf Luis dias lins;13537008000133;2;13500.00;;2025-08;2025-09;"LDC - Laudo de disponibilidade de carga, PIE - Projeto infra.  Eletrocalha e Emergência"
organizacao_fechamentos;647;Cond. Melo Barbosa;09316238000103;1;13500.00;;2026-02;2026-02;OBRA
organizacao_fechamentos;1290;Condominio do Edificio Lucilo Maranhao;17570372000156;2;13500.00;;2026-03;2026-05;"LDC - Laudo de disponibilidade de carga, PIE - Projeto infra.  Eletrocalha e Emergência"
organizacao_fechamentos;1065;Edf Morada Ilha Verde;24565913000113;2;13000.00;;2025-07;2026-03;"LDC - Laudo de disponibilidade de carga, PIE - Projeto infra.  Eletrocalha e Emergência"
organizacao_fechamentos;671;Edf. Ara Pacis;;1;13000.00;;2026-01;2026-01;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga"
organizacao_fechamentos;937;Edf Santorini;;1;13000.00;;2026-05;2026-05;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga"
organizacao_fechamentos;668;Cond. The Plaza;03521109000162;2;12700.00;;2025-08;2026-06;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga"
organizacao_fechamentos;1270;Edf Maria Leopoldina;24566176000173;1;12500.00;;2026-03;2026-03;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular"
organizacao_fechamentos;1130;Edf Luar da Praia;38054355000136;1;12420.00;;2025-09;2025-09;LDC - Laudo de disponibilidade de carga
organizacao_fechamentos;1099;Edf MIllennium;04107259000197;2;12000.00;;2025-07;2025-09;"LDC - Laudo de disponibilidade de carga, PROJETOS"
organizacao_fechamentos;1448;Edf Sagarana;;1;12000.00;;2026-04;2026-04;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga"
organizacao_fechamentos;416;Cond Saint Eduardo;20635205000150;2;11200.00;;2025-06;2026-04;"LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular"
organizacao_fechamentos;1157;Edf Maria Regina;03062111000110;1;11000.00;;2025-11;2025-11;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga"
organizacao_fechamentos;1208;Edf Porto dos Corais;03034724000144;2;11000.00;;2025-11;2026-02;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga"
organizacao_fechamentos;679;Hilson Macedo;38285871000171;1;10600.00;;2025-09;2025-09;"LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular"
organizacao_fechamentos;1002;Rio Ave;;1;10500.00;;2025-03;2025-03;PROJETOS
organizacao_fechamentos;1089;Edf FICUS;41089830000114;1;10500.00;;2025-08;2025-08;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga"
organizacao_fechamentos;1305;Edf Venâncio Barbosa;28515470000107;1;10500.00;;2026-02;2026-02;LDC - Laudo de disponibilidade de carga
organizacao_fechamentos;1318;Edf Cidade do Recife;;2;10500.00;;2026-02;2026-05;"LDC - Laudo de disponibilidade de carga, PROJETOS"
organizacao_fechamentos;1262;Edf.Maria Nice;;1;10350.00;;2026-01;2026-01;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga"
organizacao_fechamentos;1056;Cond Casa da Montanha;18585419000118;1;10200.00;;2025-11;2025-11;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga"
organizacao_fechamentos;655;Edf Carla Dias;02072321000127;2;10000.00;;2025-07;2025-12;"LDC - Laudo de disponibilidade de carga, PROJETOS"
organizacao_fechamentos;1274;Edificio Belize;01813580000107;1;10000.00;;2026-03;2026-03;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga"
organizacao_fechamentos;1335;Edf Jardim das Orquídeas;41056052000167;1;10000.00;;2026-03;2026-03;LDC - Laudo de disponibilidade de carga
organizacao_fechamentos;1328;Edf. Villa Pasárgada;;1;10000.00;;2026-04;2026-04;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga"
organizacao_fechamentos;1361;Edf Jardins das Acácias;;1;10000.00;;2026-04;2026-04;LDC - Laudo de disponibilidade de carga
organizacao_fechamentos;1380;Edifício União;;1;10000.00;;2026-05;2026-05;PROJETOS
organizacao_fechamentos;659;Jardins do Capibaribe;08639466000143;1;9900.00;;2025-09;2025-09;LDC - Laudo de disponibilidade de carga
