month;type;pipelineId;scope;dealId;dealTitle;organization;value;fullValue;typeCount;allocationSharePct;allocationSource;labels;isMultiBusinessType
2025-06;PROJETOS;11;consultoria;1007;Negócio Postos Pichilau - caruaru;Postos Pichilau - caruaru;17500;17500;1;100;equal_label_split;PROJETOS;false
2025-06;PROJETOS;11;consultoria;1008;Negócio Pichilaue Abasteça;Pichilau Vila Esperança;5500;5500;1;100;equal_label_split;PROJETOS;false
2025-06;PROJETOS;11;consultoria;1009;Negócio Pichilau Abasteça;Pichilau Vila Esperança;3500;3500;1;100;equal_label_split;PROJETOS;false
2025-06;PROJETOS;11;consultoria;1021;Negócio Ed Portal do Capibaribe;Ed Portal do Capibaribe;5000;5000;1;100;equal_label_split;PROJETOS;false
2025-06;LDC - Laudo de disponibilidade de carga;11;consultoria;1022;Negócio Edf Ilha do Retiro;Edf Ilha do Retiro;4000;4000;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2025-06;LDC - Laudo de disponibilidade de carga;11;consultoria;1023;Negócio Edf Hockenheim;Edf Hockeneim;5000;5000;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2025-06;LIE - Laudo de Instalações Elétricas;11;consultoria;1025;Edf Maria Carolina negócio;Edf Maria Carolina;5000;5000;1;100;equal_label_split;LIE - Laudo de Instalações Elétricas;false
2025-08;LDC - Laudo de disponibilidade de carga;11;consultoria;1030;Negócio Edf Sirius e Antares;condomínio Residencial Estrela;8300;8300;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2025-06;LDC - Laudo de disponibilidade de carga;11;consultoria;1031;Negócio Edf Boa Viagem;Edf Boa Viagem;8000;8000;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2025-06;LDC - Laudo de disponibilidade de carga;11;consultoria;1035;Negócio Edf Villa das Pedras;Edf Villa das Pedras;5000;5000;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2025-08;LDC - Laudo de disponibilidade de carga;11;consultoria;1036;Edf Principe de Toscana;Edificio Principe de Toscana;4000;4000;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2025-10;LIE - Laudo de Instalações Elétricas;11;consultoria;1040;Negócio Edf Morada dos Agapanthus;Edf Morada dos Agapanthus;4500;4500;1;100;equal_label_split;LIE - Laudo de Instalações Elétricas;false
2025-08;LIE - Laudo de Instalações Elétricas;11;consultoria;1043;Negócio Edf Morada Rosarinho;Edf Morada Rosarinho;5750;11500;2;50;equal_label_split;"LIE - Laudo de Instalações Elétricas, PROJETOS";true
2025-08;PROJETOS;11;consultoria;1043;Negócio Edf Morada Rosarinho;Edf Morada Rosarinho;5750;11500;2;50;equal_label_split;"LIE - Laudo de Instalações Elétricas, PROJETOS";true
2025-08;LDC - Laudo de disponibilidade de carga;11;consultoria;1052;Negócio Edf Turmalina;Edf Turmalina;8000;8000;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2025-11;LDC - Laudo de disponibilidade de carga;11;consultoria;1055;Negócio Edf Walter Turton;Edf Walter Turton;6000;6000;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2025-11;LIE - Laudo de Instalações Elétricas;11;consultoria;1062;Negócio Cond Casa da Montanha;Cond Casa da Montanha;5100;10200;2;50;equal_label_split;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga";true
2025-11;LDC - Laudo de disponibilidade de carga;11;consultoria;1062;Negócio Cond Casa da Montanha;Cond Casa da Montanha;5100;10200;2;50;equal_label_split;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga";true
2025-08;LDC - Laudo de disponibilidade de carga;11;consultoria;1071;Edf Terra Brasilis;Edf Terra Brasilis;17000;17000;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2025-07;LDC - Laudo de disponibilidade de carga;11;consultoria;1073;Negócio Edf Morada Ilha Verde;Edf Morada Ilha Verde;8000;8000;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2025-10;LIE - Laudo de Instalações Elétricas;11;consultoria;1074;Negócio Edf Piedade Prince;Edf Piedade Prince;4666.666666666667;14000;3;33.333333333333336;equal_label_split;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular";true
2025-10;LDC - Laudo de disponibilidade de carga;11;consultoria;1074;Negócio Edf Piedade Prince;Edf Piedade Prince;4666.666666666667;14000;3;33.333333333333336;equal_label_split;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular";true
2025-10;ICV - Inspeção de carregador veicular;11;consultoria;1074;Negócio Edf Piedade Prince;Edf Piedade Prince;4666.666666666667;14000;3;33.333333333333336;equal_label_split;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular";true
2025-10;LDC - Laudo de disponibilidade de carga;11;consultoria;1076;Negócio Edf Nicolau II;Edf Nicolau II;7700;7700;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2025-11;LIE - Laudo de Instalações Elétricas;11;consultoria;1077;Negócio Edf Maria Clarice;Edf Maria Clarice;5000;5000;1;100;equal_label_split;LIE - Laudo de Instalações Elétricas;false
2025-08;LDC - Laudo de disponibilidade de carga;11;consultoria;1081;Edf Praia dos Jardins;Edf Praia dos Jardins;6000;6000;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2025-08;LDC - Laudo de disponibilidade de carga;11;consultoria;1083;Negócio Edf Sainte Daniela;Edf Sainte Daniela;7200;7200;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2025-09;LDC - Laudo de disponibilidade de carga;11;consultoria;1084;Negócio Edf Quinta do Algarve;Edf Quinta do Algarve;4800;4800;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2025-08;LDC - Laudo de disponibilidade de carga;11;consultoria;1085;Edf Luis Dias lins;Edf Luis dias lins;9500;9500;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2025-08;LDC - Laudo de disponibilidade de carga;11;consultoria;1089;Negócio Edf Píer Mauricio de Nassau;Edf Píer Mauricio de Nassau;5000;5000;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2025-08;LIE - Laudo de Instalações Elétricas;11;consultoria;1092;Edf FICUS negócio;Edf FICUS;5250;10500;2;50;equal_label_split;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga";true
2025-08;LDC - Laudo de disponibilidade de carga;11;consultoria;1092;Edf FICUS negócio;Edf FICUS;5250;10500;2;50;equal_label_split;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga";true
2025-07;LDC - Laudo de disponibilidade de carga;11;consultoria;1093;Negócio Edf Cristiano;Edf Cristiano;4000;4000;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2025-07;LDC - Laudo de disponibilidade de carga;11;consultoria;1101;Negócio Edf MIllennium;Edf MIllennium;7000;7000;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2025-11;LIE - Laudo de Instalações Elétricas;11;consultoria;1102;Negócio Edf Sobrado do Capibaribe;Edf Sobrado do Capibaribe;5500;11000;2;50;equal_label_split;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga";true
2025-11;LDC - Laudo de disponibilidade de carga;11;consultoria;1102;Negócio Edf Sobrado do Capibaribe;Edf Sobrado do Capibaribe;5500;11000;2;50;equal_label_split;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga";true
2025-07;OBRA;14;obras;1111;Negócio Edf Praia de Japaratinga;Edf Praia de Japaratinga;10540;10540;1;100;equal_label_split;OBRA;false
2025-07;LIE - Laudo de Instalações Elétricas;11;consultoria;1112;Negócio Edf Villa das Pedras;Edf Villa das Pedras;2400;2400;1;100;equal_label_split;LIE - Laudo de Instalações Elétricas;false
2026-04;LIE - Laudo de Instalações Elétricas;11;consultoria;1119;Negócio Edf Maria Ines;Condominio do Edificio Maria Ines;7000;7000;1;100;equal_label_split;LIE - Laudo de Instalações Elétricas;false
2025-08;PROJETOS;11;consultoria;1124;Negócio Edf Maison Monet;Edf Maison Monet;5300;5300;1;100;equal_label_split;PROJETOS;false
