month;type;wonDeals;revenue;averageTicket;revenueMoMPct;dealsMoMPct;revenueYoYPct;dealsYoYPct
2026-05;LDC - Laudo de disponibilidade de carga;7;67800;9685.714285714286;-10.198675496688741;-12.5;35.16746411483253;16.666666666666664
2026-05;LIE - Laudo de Instalações Elétricas;4;40200;10050;12.605042016806722;0;197.77777777777777;300
2026-05;PIE - Projeto infra.  Eletrocalha e Emergência;2;25500;12750;409.99999999999994;100;128.49462365591398;100
2026-05;PROJETOS;3;20000;6666.666666666667;35.59322033898305;50;42.857142857142854;200
2026-05;ICV - Inspeção de carregador veicular;2;20000;10000;376.1904761904762;100;;
2026-05;LCC - Laudo Carregador Coletivo;1;19500;19500;;;;
2026-05;LGR - Laudo de Gerenciamento de Risco;1;2700;2700;;;;
2026-06;LDC - Laudo de disponibilidade de carga;2;10500;5250;-84.51327433628319;-71.42857142857143;-65;-60
2026-06;ICV - Inspeção de carregador veicular;1;9200;9200;-54;-50;;
2026-06;OBRA;1;950;950;;;;
