month;label;baselineRevenue2025;baselineWonDeals2025;runRateRevenue;seasonalRevenue;projectedRevenue;projectedWonDeals
2026-08;Ago;105200;14;219006.1;456872.78198300285;246508.2224151257;25.533898305084747
2026-09;Set;82313.98;11;219006.1;357481.1505579206;192880.92100488787;20.062348668280872
2026-10;Out;112150;10;219006.1;487055.91729461757;262793.69908608694;18.238498789346245
2026-11;Nov;99460;13;219006.1;431944.55224362604;233058.05894874904;23.71004842615012
2026-12;Dez;138289.29;11;219006.1;600576.1657866375;324044.1735451504;20.062348668280872
