service;wonDeals;revenue;averageTicket;firstWonMonth;lastWonMonth
Laudos e consultoria condominial;194;1635361;8429.69587628866;2025-01;2026-07
Obras eletricas;38;788094.97;20739.341315789472;2025-04;2026-07
