month;type;dealId;dealTitle;organization;value;labels;isMultiBusinessType
2026-02;LDC - Laudo de disponibilidade de carga;1336;Edf Chanel;Edf Chanel;7000;LDC - Laudo de disponibilidade de carga;false
2026-01;OBRA;1337;Edf Quinta do Algarve;Edf Quinta do Algarve;17000;OBRA;false
2026-03;LDC - Laudo de disponibilidade de carga;1345;Edifício Lucilo Maranhão;Condominio do Edificio Lucilo Maranhao;7500;LDC - Laudo de disponibilidade de carga;false
2026-03;OBRA;1352;Quinta Tereza Beltrão;Edf Quinta Tereza Beltrão;17800;"OBRA, CDM";true
2026-02;OBRA;1355;Edf Morada Rosarinho;Edf Morada Rosarinho;6250;OBRA;false
2026-01;OBRA;1356;Edf Samsara;Edf Samsara;28000;OBRA;false
2026-01;LDC - Laudo de disponibilidade de carga;1357;Edf Samsara;Edf Samsara;2500;LDC - Laudo de disponibilidade de carga;false
2026-01;OBRA;1365;Edf Castelo de Blois;Edf Castelo de Blois;19800;OBRA;false
2026-02;LDC - Laudo de disponibilidade de carga;1371;Edf Venâncio Barbosa negócio;Edf Venâncio Barbosa;10500;LDC - Laudo de disponibilidade de carga;false
2026-01;PIE - Projeto infra.  Eletrocalha e Emergência;1372;Edf Samsara;Edf Samsara;4500;PIE - Projeto infra.  Eletrocalha e Emergência;false
2026-04;LDC - Laudo de disponibilidade de carga;1374;Edf Domus Prof Mario Pessoa negócio;Edf Domus Prof Mario Pessoa;6500;LDC - Laudo de disponibilidade de carga;false
2026-02;LDC - Laudo de disponibilidade de carga;1375;Edf. Augusto Lins e Silva negócio;Edf. Augusto Lins e Silva;6500;LDC - Laudo de disponibilidade de carga;false
2026-05;LDC - Laudo de disponibilidade de carga;1382;Edf Alameda dos Flamboyants negócio;Edf Alameda dos Flamboyants;8800;LDC - Laudo de disponibilidade de carga;false
2026-02;OBRA;1386;Verano ADM;Verano ADM;43031.72;"OBRA, Instalação de Carregador Eletrico";true
2026-02;LDC - Laudo de disponibilidade de carga;1391;Edf Cidade do Recife;Edf Cidade do Recife;5500;LDC - Laudo de disponibilidade de carga;false
2026-02;LDC - Laudo de disponibilidade de carga;1393;Edf Ébano;Edf Ébano;4000;LDC - Laudo de disponibilidade de carga;false
2026-02;LDC - Laudo de disponibilidade de carga;1410;Edf Porto dos Corais;Edf Porto dos Corais;6500;LDC - Laudo de disponibilidade de carga;false
2026-04;LDC - Laudo de disponibilidade de carga;1418;Edf. Villa Pasárgada;Edf. Villa Pasárgada;10000;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga";true
2026-02;LDC - Laudo de disponibilidade de carga;1420;Empório Muro Alto;Empório Muro Alto;4500;LDC - Laudo de disponibilidade de carga;false
2026-02;OBRA;1423;Cond. Melo Barbosa;Cond. Melo Barbosa;13500;OBRA;false
2026-03;LIE - Laudo de Instalações Elétricas;1425;Edf Nazaré;Edf Nazaré;4000;"LIE - Laudo de Instalações Elétricas, LGR - Laudo de Gerenciamento de Risco";true
2026-03;LDC - Laudo de disponibilidade de carga;1426;Edf Jardim das Orquídeas;Edf Jardim das Orquídeas;10000;LDC - Laudo de disponibilidade de carga;false
2026-04;LDC - Laudo de disponibilidade de carga;1427;Condomínio Jardins da Ilha;Condomínio Jardins da Ilha;18000;LDC - Laudo de disponibilidade de carga;false
2026-03;LDC - Laudo de disponibilidade de carga;1429;Edf Costa Atlântica  negócio;Condominio do Edificio Costa Atlantica;7000;LDC - Laudo de disponibilidade de carga;false
2026-04;PROJETOS;1432;Edf Jardins do Rosarinho;Edf Jardins do Rosarinho;6750;PROJETOS;false
2026-03;PIE - Projeto infra.  Eletrocalha e Emergência;1435;Edf Rita de Cássia negócio;Edf Rita de Cássia;6000;"LDC - Laudo de disponibilidade de carga, PIE - Projeto infra.  Eletrocalha e Emergência";true
2026-03;OBRA;1436;Edf Reserva do Poço;Edf Reserva do Poço;83500;OBRA;false
2026-03;PIE - Projeto infra.  Eletrocalha e Emergência;1443;Edf Reserva do Poço;Edf Reserva do Poço;8500;"PROJETOS, PIE - Projeto infra.  Eletrocalha e Emergência";true
2026-02;OBRA;1444;Edf Villa Casa Forte;Edf Villa Casa Forte;4500;OBRA;false
2026-04;ICV - Inspeção de carregador veicular;1446;Cond Saint Eduardo;Cond Saint Eduardo;4200;ICV - Inspeção de carregador veicular;false
2026-03;LDC - Laudo de disponibilidade de carga;1459;Edf Morada Apipucos;Edf Morada Apipucos;4500;LDC - Laudo de disponibilidade de carga;false
2026-03;LIE - Laudo de Instalações Elétricas;1461;Edifício Fernando Perez negócio;Edifício Fernando Perez;4000;LIE - Laudo de Instalações Elétricas;false
2026-04;LDC - Laudo de disponibilidade de carga;1464;Edf Jardins das Acácias;Edf Jardins das Acácias;10000;LDC - Laudo de disponibilidade de carga;false
2026-05;LDC - Laudo de disponibilidade de carga;1473;condomínio Saint Sebastien;condomínio Saint Sebastien;8500;LDC - Laudo de disponibilidade de carga;false
2026-05;LIE - Laudo de Instalações Elétricas;1474;Edifício Ana Cristina;Edifício Ana Cristina;2700;"LIE - Laudo de Instalações Elétricas, LGR - Laudo de Gerenciamento de Risco";true
2026-05;PROJETOS;1490;Edifício União;Edifício União;10000;PROJETOS;false
