scenario;h1Projected;h2Projected;totalProjected;wonDealsEstimated
Conservador;1049576.064;892139.6543999998;1941715.7183999997;169
Ritmo atual;1049576.064;1049576.0639999998;2099152.1279999996;182
Realista;1049576.064;1234925.861540454;2284501.9255404538;199
Potencial sazonal 2025;1049576.064;2594157.7101704516;3643733.774170452;388
Base recomendada;1049576.064;1234925.861540454;2284501.9255404538;199
